Center,Phone number,Days,Hours,Full Address,Latitude,Longitude
Mamre Enrichment Program,(646) 617-8775,Sun,10 AM - 12 PM,"1623 Utica Ave, Brooklyn, NY 11234",40.632633,-73.928145
Bnai Raphael Chesed Organization Inc,(718) 951-2302,"M, Tue, W/Thu/F, Sun",10A-3:3P/10A-5P/APPTONLY,"3846 Flatlands Ave, Brooklyn, NY 11234",40.619639,-73.937581
Metropolitan Council On Jewish Poverty,(718) 763-5318,"Tue, Thu",3 PM - 5 PM,"5361 Preston Ct, Brooklyn, NY 11234",40.638733,-73.923713
Apna Food Pantry Brighton Beach,(718) 513-4700,Wed,2 PM - 3 PM,"225 Neptune Ave, Brooklyn, NY 11235",40.581729,-73.961682
Icna Relief Usa Food Pantry,(718) 658-2028,Mon,12 PM - 1 PM,"273 Neptune Ave, Brooklyn, NY 11235",40.581347,-73.963457
Chabad - Oceanview Jewish Center,(718) 796-2462,Mon,10 AM - 11 AM,"3100 Brighton 4th St, Brooklyn, NY 11235",40.576642,-73.963312
Bay View Houses Resident Association,(347) 307-0030,Thu,9:30 AM - 12:30 PM,"2085 Rockaway Pkwy, Brooklyn, NY 11236",40.632866,-73.886955
Children Of The Light International Ministries Inc,(347) 794-4130,"M, W, F, Sat",10 AM - 3 PM,"1171 E 95th St, Brooklyn, NY 11236",40.642246,-73.901806
Church Of God (Bk),(718) 346-4897,Sat,12 PM - 2:30 PM,"627 Remsen Ave, Brooklyn, NY 11236",40.651667,-73.918431
International Pentecostal City Mission,(718) 342-9005,Sat,11 AM - 1 PM,"9202 Church Ave, Brooklyn, NY 11236",40.653879,-73.91802
Our Lady Of Miracles-Canarsie Cluster Center,(718) 257-2400,Sat,10 AM - 11:30 AM,"757 E 86th St, Brooklyn, NY 11236",40.638822,-73.909227
Hebrew Educational Society,(718) 241-3000,"M, W, Th/Tue",9AM-2PP/1-6PM,"9502 Seaview Ave, Brooklyn, NY 11236",40.632398,-73.890779
Ccc New York Parish Food Pantry Outreach Program,(718) 366-8065,Sat,10 AM - 2 PM,"1380 Jefferson Ave, Brooklyn, NY 11237",40.69465,-73.909821
Make The Road New York,(718) 418-7690,Fri,8 AM - 11 AM,"301 Grove St, Brooklyn, NY 11237",40.698424,-73.915797
Bethel Seventh Day Adventist Church,(917) 509-8412,Wed,3 PM - 5 PM,"457 Grand Ave, Brooklyn, NY 11238",40.681607,-73.961308
Child Development Support Corporation,(718) 398-2050,Thu,11 AM - 3 PM,"358 Classon Ave, Brooklyn, NY 11238",40.688268,-73.960025
Church Of God Feeding The Hungry,(718) 230-5955,Thu,10 AM - 12 PM,"836 Classon Ave, Brooklyn, NY 11238",40.672411,-73.961117
Bethel Seventh Day Adventist Church,(917) 509-8412,Sun,1 PM - 2 PM,"457 Grand Ave, Brooklyn, NY 11238",40.681607,-73.961308
Sisters With Purpose Inc,(646) 460-4101,Sat,9 AM - 10 AM,"1540 Van Siclen Ave, Brooklyn, NY 11239",40.647476,-73.877542
Jewish Community Council Of Canarsie   #1,(718) 922-2474,Wed,9 AM - 11 AM,"1170 Pennsylvania Ave, Brooklyn, NY 11239",40.651493,-73.885716
The Salvation Army Bronx Citadel,(718) 665-8472,Tue,9 AM - 12 PM,"425 E 159th St, Bronx, NY 10451",40.822707,-73.913416
Boom! Health,(718) 295-5960,"Mon, Wed, Thu",11 AM - 12:30 PM,"3144 3rd Ave, Bronx, NY 10451",40.822232,-73.91056
City Harvest - Melrose Mobile Market,(646) 412-0740,"Wed, Sat",9:30 AM - 11:30 AM,"286 E 156th St, Bronx, NY 10451",40.821536,-73.920267
The Salvation Army Bronx Citadel,(718) 665-8472,"Mon, Wed, Fri",1 PM - 2 PM,"425 E 159th St, Bronx, NY 10451",40.822707,-73.913416
Church Of God Of Woodycrest Avenue,(718) 992-4087,Sat,10 AM - 1 PM,"923 Woodycrest Ave, Bronx, NY 10452",40.830873,-73.929623
Grand Concourse Seventh Day Adventist Church,(718) 681-2232,Wed,1:30 PM - 4 PM,"1275 Grand Concourse, Bronx, NY 10452",40.836396,-73.916428
Love Wins Nyc At Pss,(718) 588-3004,Fri,12 PM - 1 PM,"1181 Nelson Ave, Bronx, NY 10452",40.837261,-73.925822
Mosaic Beacon Community Center,(917) 962-9955,Fri,3 PM - 5 PM,"1257 Ogden Ave, Bronx, NY 10452",40.839681,-73.9257
New Covenant Community Corp Fp (Nccdc Elg Pantry),(718) 328-6072,Mon,11 AM - 1 PM,"1240 Edward L Grant Hwy, Bronx, NY 10452",40.837139,-73.922076
Whedco - Food Pantry,(718) 839-1100,Wed,9:30 AM - 10:30 AM,"50 E 168th St, Bronx, NY 10452",40.836488,-73.919038
The Community Food Pantry,(718) 960-2262,Tue/Thu/1St Sat,10AM-1PM/12-3PM/10AM-12PM,"1363 Ogden Ave, Bronx, NY 10452",40.841726,-73.924857
Woodycrest United Methodist Church,(718) 538-7500,Wed,12 PM - 1:30 PM,"89 W 166th St, Bronx, NY 10452",40.83531,-73.926559
Calvary United Methodist Church Food Pantry,(718) 299-4732,Fri,11 AM - 1 PM,"1885 University Ave, Bronx, NY 10453",40.85257,-73.913652
Davidson Community Center Inc,(718) 731-6360,Fri,5 PM - 8 PM,"2038 Davidson Ave, Bronx, NY 10453",40.853601,-73.908557
St. Edmunds Youth Program Inc,(718) 466-9370,Thu,12 PM - 2 PM,"1905 Morris Ave, Bronx, NY 10453",40.849923,-73.90809
Muna Social Service Baitul Islam Masjid,(212) 920-6202,Thu,2 PM - 3 PM,"2107 Davidson Ave, Bronx, NY 10453",40.855622,-73.907042
"Abraham House, Inc",(718) 292-9321,Sat,9 AM - 11 AM,"340 Willis Ave, Bronx, NY 10454",40.811236,-73.921116
St. Ann'S Church Of Morrisania,(718) 585-5632,Wed,10AM-1PM&5-6PM,"295 St Anns Ave, Bronx, NY 10454",40.808444,-73.916662
St. Jerome H.A.N.D.S. Community Center,(718) 402-7866,Wed,10 AM - 1 PM,"330 E 138th St, Bronx, NY 10454",40.81005,-73.925142
St. Lukes Food Pantry,(718) 665-6677,Fri,10 AM - 1 PM,"623 E 138th St, Bronx, NY 10454",40.806195,-73.91557
St. Ann'S Church Of Morrisania,(718) 585-5632,Sun,11 AM - 1 PM,"295 St Anns Ave, Bronx, NY 10454",40.808444,-73.916662
Bronx Temple Seventh Day Adventist Church,(718) 842-4504,"M, W, Thu",11:30 AM - 2:30 PM,"495 Willis Ave, Bronx, NY 10455",40.815001,-73.918801
Cccs Bronx Food Pantry,(718) 292-9090,"Wed/Thu, Fri",4-6PM/10AM-12PM,"402 E 152nd St, Bronx, NY 10455",40.818096,-73.91658
Give Them To Eat,(646) 306-1725,Fri,11 AM - 3 PM,"800 E 156th St, Bronx, NY 10455",40.817631,-73.904363
"United Bronx Parents, Inc.",(718) 991-7100,"W, Thu, F",11 AM - 12 PM,"603 Prospect Ave, Bronx, NY 10455",40.813968,-73.904071
"Way Out Church Ministries, Inc",(718) 665-8069,"Wed, Fri",9 AM - 10:30 AM,"520 E 148th St, Bronx, NY 10455",40.813939,-73.914691
City Harvest - St. Mary'S Mobile Market,(646) 412-0740,"Tue, Sat",9:30 AM - 11:30 AM,"595 Trinity Ave, Bronx, NY 10455",40.815135,-73.90973
"United Bronx Parents, Inc.",(718) 991-7100,Mon-Fri,2:30 PM - 4 PM,"603 Prospect Ave, Bronx, NY 10455",40.813968,-73.904071
Caring Sheperd Supplies Ministries Inc,(917) 743-0780,Thu,4 PM - 6 PM,"4056 Barnes Ave, Bronx, NY 10466",40.889181,-73.856133
Inspirational Gospel Assembly,(347) 758-6447,Sat,11 AM - 1 PM,"1211 Brook Ave, Bronx, NY 10456",40.831439,-73.909223
"Manna Of Life Ministries, Inc",(347) 577-5788,"Wed, Thu",8 AM - 11 AM,"1101 Boston Rd, Bronx, NY 10456",40.827525,-73.904892
Morrisania Revitalization Corp Inc,(718) 589-7858,"Mon, Wed, Fri",9 AM - 1 PM,"576 E 165th St, Bronx, NY 10456",40.825574,-73.906899
New Covenant Community Development Corp,(718) 328-6072,Tue/Thu,2-4PM/10AM-1PM,"1175 Boston Rd, Bronx, NY 10456",40.828931,-73.903235
Redeemed Christian Church Of God,(718) 293-8996,Tue,2 PM - 6 PM,"1001 Morris Ave, Bronx, NY 10456",40.828958,-73.916774
The Bible Church Of Christ,(718) 293-1928,Thu,9:30 AM - 12 PM,"1358 Morris Ave, Bronx, NY 10456",40.837271,-73.911564
Vineyard International Christian Ministries,(718) 538-9211,Sat,10 AM - 12 PM,"1140 Teller Ave, Bronx, NY 10456",40.830744,-73.912376
"Manna Of Life Ministries, Inc",(347) 577-5788,Sat,9 AM - 1 PM,"1101 Boston Rd, Bronx, NY 10456",40.827525,-73.904892
Ash-Shifaa Inc Fp,(646) 353-0859,M-Thu/Fri,1-5PM/2-5PM,"2269 Crotona Ave, Bronx, NY 10457",40.851638,-73.88506
Bronx Seventh Day Adventist Church,(646) 353-8926,Thu,2 PM - 5 PM,"1695 Washington Ave, Bronx, NY 10457",40.842157,-73.900969
Morning Star Full Gospel Assembly,(718) 294-6020,Wed,4 PM - 6 PM,", Tremont, NY 10457",40.849545,-73.905692
Revelacion Divina Food Pantry,NONE PROVIDED,Mon,5 PM - 7 PM,"240 E 175th St, Bronx, NY 10457",40.846632,-73.906144
St. Simon Stock Food Pantry,(718) 367-1251,Fri,9 AM - 10 AM,"2195 Valentine Ave, Bronx, NY 10457",40.85519,-73.899025
The Gambian Youth Organization Food Pantry,(646) 470-6330,Sun,2 PM - 5 PM,"214 E 181st St, Bronx, NY 10457",40.854304,-73.900814
Part Of The Solution,(929) 566-7980,Mon-Sat,8:30 AM - 11 AM,"2759 Webster Ave, Bronx, NY 10458",40.865753,-73.886562
Thorpe Family Residence,(718) 295-2550,Wed,7:30 AM - 9:30 AM,"406 E 184th St, Bronx, NY 10458",40.85643,-73.894678
Part Of The Solution (P.O.T.S.),(929) 556-7985,Mon-Sat,12:30 PM - 3 PM,"2759 Webster Ave, Bronx, NY 10458",40.865753,-73.886562
Give By Grace What By Grace You Have Received Inc,(718) 710-9339,Fri,12 PM - 1:30 PM,"936 E 165th St, Bronx, NY 10459",40.823797,-73.895994
New York Common Pantry - Bronx,(917) 423-2701,Thu-Sat,10 AM - 2:30 PM,"1290 Hoe Ave, Bronx, NY 10459",40.830863,-73.890393
Resurrection And Life Pentecostal Church,(929) 472-4201,Tue/Sat,12-2PM/10AM-12PM,"870 E 163rd St, Bronx, NY 10459",40.821526,-73.899286
Spanish Seventh Day Adventist Church Food Pantry,(845) 729-8804,Thu,10 AM - 1 PM,"1038 Prospect Ave, Bronx, NY 10459",40.824736,-73.899309
Thessalonia Baptist Church,(718) 542-0828,Tue,10 AM - 11:30 AM,"951 Rev James A Polite Ave, Bronx, NY 10459",40.822276,-73.899037
Word Of Life Christian Fellowship,(718) 861-5678,Sat,11 AM - 3 PM,"830 Union Ave, Bronx, NY 10459",40.819614,-73.903034
Loyal Baptist Church,(718) 328-3512,Thu,11 AM - 3 PM,"881 E 167th St, Bronx, NY 10459",40.826125,-73.896227
Pathhseo Inc,(917) 471-9188,Sat,12 PM - 2 PM,"1357 Southern Blvd, Bronx, NY 10459",40.832144,-73.8911
St. Ann'S Corner Of Harm Reduction,(718) 585-5544,Mon-Fri,6 AM - 12 PM,"886 Westchester Ave, Bronx, NY 10459",40.820597,-73.899471
El Remanente Food Pantry,NONE PROVIDED,Sat,11 AM - 12:30 PM,"1402 Crotona Park E, Bronx, NY 10460",40.834359,-73.89671
Gethsemane Baptist Church,(347) 948-0772,Thu,8 AM - 10 AM,"771 Fairmount Pl, Bronx, NY 10460",40.84266,-73.888798
St. Thomas Aquinas Food Pantry,(718) 589-5235,Wed,10 AM - 12 PM,"1900 Crotona Pkwy, Bronx, NY 10460",40.840785,-73.885469
Union Grove Baptist Church,(347) 590-3881,Wed,9 AM - 11 AM,"1488 Hoe Ave, Bronx, NY 10460",40.832947,-73.889147
Grace Episcopal Church,(718) 542-1946,Sat,12 PM - 1:30 PM,"1909 Vyse Ave, Bronx, NY 10460",40.840572,-73.883552
St. Anthony'S Church,(718) 931-4040,Sat,7 AM - 1 PM,"1750 Mansion St, Bronx, NY 10460",40.83791,-73.869448
Guru Seva Hidu Milan Mandir Cultural Group,(347) 951-5669,Sat,11 AM - 3 PM,"3201 Bruckner Blvd, Bronx, NY 10461",40.83888,-73.826124
Admirable Christ Ministries Food Pantry,(570) 856-7065,Sat,2 PM - 3 PM,"2361 Maclay Ave, Bronx, NY 10462",40.839725,-73.851349
Parkchester Baptist Church,(718) 823-8124,Tue,11 AM - 12 PM,"2021 Benedict Ave, Bronx, NY 10462",40.834525,-73.857175
Roman Catholic Church Of St. Helena,(718) 892-3232,Wed,12 PM - 2 PM,"1315 Olmstead Ave, Bronx, NY 10462",40.834254,-73.854929
St. Paul'S Lutheran Church,(718) 822-4535,Fri,8 AM - 10 AM,"1891 McGraw Ave, Bronx, NY 10462",40.83457,-73.86251
Muna Social Service Parkchester Islamic Center,(212) 920-6202,Thu,4 PM - 5 PM,"1375 Virginia Ave, Bronx, NY 10462",40.83535,-73.862139
Jewish Community Council Of Pelham Parkway,(718) 792-4744,Thu,11 AM - 3 PM,"2157 Holland Ave, Bronx, NY 10462",40.855343,-73.86585
The Kingsbridge Heights Community Center Inc,(718) 884-0700,"Tue, Thu",11 AM - 2:30 PM,"3067 Kingsbridge Ter, Bronx, NY 10463",40.87737,-73.900943
Bronx Bethany Community Corporation,(718) 697-9672,Wed/Th,9-11AM/3-6PM,"971 E 227th St, Bronx, NY 10466",40.886689,-73.851394
Jamaica Benevolent Arm & Cultural Center,(646) 907-9858,Sat,10 AM - 12 PM,"2230 Light St, Bronx, NY 10466",40.887726,-73.830705
"Jesus Reconciliation Ministries, Inc",(718) 844-8704,Sat,12 PM - 2 PM,"4051 Barnes Ave, Bronx, NY 10466",40.889152,-73.856495
"United Yes We Can, Unidos Sise Puede, Inc",(646) 321-5045,Sat,12 PM - 3 PM,"4327 White Plains Rd, Bronx, NY 10466",40.896355,-73.855967
Christ Disciples International Ministries,(917) 999-8459,"Mon, Wed/Sat",10AM-3PM/9:30AM-12:30PM,"Webster Ave, Bronx, NY 10470",40.900885,-73.861636
Food And Nutrition Services Program,(347) 974-7397,Wed,10 AM - 4 PM,"1802 Crotona Ave, Bronx, NY 10457",40.842663,-73.893489
Mosholu Montefiore Community Center Fp,(718) 882-4000,Wed,10 AM - 12 PM,"3450 Dekalb Ave, Bronx, NY 10467",40.881966,-73.880582
St. Brendan & St. Ann Parish,(718) 547-6655,Sat,7:30 AM - 9 AM,"268 E 207th St, Bronx, NY 10467",40.875464,-73.877526
St. Luke'S Senior Community Program,(718) 882-3060,Mon-Fri,12 PM - 1 PM,"765 E 222nd St, Bronx, NY 10467",40.885089,-73.859205
Church Of St. Nicholas Of Tolentine,(718) 295-6800,Tue,9 AM - 11 AM,"2345 University Ave, Bronx, NY 10468",40.862216,-73.905673
"Creston Avenue Baptist Church, Inc",(718) 367-1754,"Mon, Wed, Fri",12 PM - 2 PM,"114 E 188th St, Bronx, NY 10468",40.861844,-73.899159
"Power Praise And Deliverance, Inc",(347) 409-0288,Fri,12 PM - 4 PM,"120 E 184th St, Bronx, NY 10468",40.859623,-73.900434
St. James Place,(718) 367-0655,Sat,9:30 AM - 10:30 AM,"2500 Jerome Ave, Bronx, NY 10468",40.864004,-73.899625
"Creston Avenue Baptist Church Of Christ, Inc",(718) 367-1754,Sat,12 PM - 2 PM,"114 E 188th St, Bronx, NY 10468",40.861844,-73.899159
Abundant Grace For The Forsaken Food Pantry,(347) 350-4698,Sat,9 AM - 11 AM,"3101 Eastchester Rd, Bronx, NY 10469",40.871365,-73.84387
Church Of God Of Bronxwood Avenue,(718) 652-0337,Wed/Sat,10 AM - 2 PM,"3232 Lurting Ave, Bronx, NY 10469",40.872376,-73.856442
Eastchester Presbyterian Church,(718) 920-0679,Sat,10 AM - 11 AM,"3154 Fish Ave, Bronx, NY 10469",40.871322,-73.847255
Good Neighbor Community Outreach Agency Inc,(718) 652-3288,Wed/Fri,12-2PM/7-9PM,"3356 Seymour Ave, Bronx, NY 10469",40.875712,-73.848639
North Bronx Seventh Day Adventist Church,(718) 882-4907,Fri,9 AM - 12 PM,"3743 Bronxwood Ave, Bronx, NY 10469",40.880983,-73.8577
Icna Relief Burke Avenue Bronx Pantry,(214) 463-3227,Sat,9 AM - 11 AM,"1277 D Burke Ave, Bronx, NY 10469",40.871571,-73.84958
Eastchester Presbyterian Church,(718) 798-1855,Thu,5 PM - 6 PM,"3154 Fish Ave, Bronx, NY 10469",40.871322,-73.847255
Kingsbridge Center For Israel,(718) 548-2727,Wed/Sun,7-9PM/9AM-12PM,"5905 Riverdale Ave, Bronx, NY 10471",40.907062,-73.904257
Bread Of Life Food Pantry,(347) 235-3723,Sat,1:30 PM - 4:30 PM,"1104 Elder Ave, Bronx, NY 10472",40.826425,-73.878539
Church Of The Atonement Food Pantry,(718) 828-6078,Sat,10 AM - 12 PM,"1344 Beach Ave, Bronx, NY 10472",40.833386,-73.866336
Emanuel Pentecostal Faith Church,(718) 842-4092,Wed,12 PM - 2 PM,"1310 Elder Ave, Bronx, NY 10472",40.831613,-73.879749
"Disciples Of Galilee, Inc",(347) 293-6166,Wed/Fri,3-4PM/1-:2:30PM,"725 Castle Hill Ave, Bronx, NY 10473",40.821627,-73.848882
Fellowship Covenant Church,(718) 829-2116,Wed,9 AM - 11:30 AM,"720 Castle Hill Ave, Bronx, NY 10473",40.821723,-73.848411
Grace & Peace Food Bank,(718) 924-8839,Sat,9 AM - 12 PM,"525 Compton Ave, Bronx, NY 10473",40.813055,-73.854264
Lt Works Food Pantry,(347) 810-1201,Thu,10:30 AM - 12:30 PM,"2347 Lafayette Ave, Bronx, NY 10473",40.824114,-73.844195
Shout For Joy Baptist Church Inc,(347) 400-0409,Sat,8 AM - 9:30 AM,"456 White Plains Rd, Bronx, NY 10473",40.814703,-73.856286
Spanish Soundview Seventh Day Adventist Church,(718) 842-7373,Wed,8 AM - 12:30 PM,"1822 Lacombe Ave, Bronx, NY 10473",40.814908,-73.861229
Chapel Of The Great Restorer Food Pantry,(718) 673-8139,Sat,12 PM - 2 PM,"1121 Longwood Ave, Bronx, NY 10474",40.814808,-73.893347
Black Forum Of Co-Op City,(718) 320-8035,"Thu, Fri",11 AM - 12:45 PM,"920 Baychester Ave, Bronx, NY 10475",40.877169,-73.833184
Coop City Sda Church Food Pantry,(718) 320-0518,Wed,5:30 PM - 7 PM,"1010 Baychester Ave, Bronx, NY 10475",40.880352,-73.831068
Aids Service Center Of Lower Manhattan,(212) 675-0875,Wed,10 AM - 3 PM,"64 W 35th St, New York, NY 10001",40.750099,-73.986666
Holy Apostles Soup Kitchen Pantry,(646) 998-6105,"Tue, Wed, Thu",1:30 PM - 3 PM,"296 9th Ave, New York, NY 10001",40.74916,-73.998931
St. John'S Bread Of Life,(212) 564-9070,Wed,10 AM - 1 PM,"213 W 30th St, New York, NY 10001",40.748911,-73.993214
Holy Apostles Soup Kitchen,(212) 924-0167,Mon-Fri,10:30 AM - 12:30 PM,"9th Ave and W 28th St, New York, NY 10001",40.749659,-73.999065
Dewitt Reformed Church,(212) 674-3341,Sat,10 AM - 12 PM,"280 Rivington St, New York, NY 10002",40.717523,-73.979589
Our Lady Of Sorrows,(212) 673-0900,"Tue, Thu",8 AM - 11 AM,"213 Stanton St, New York, NY 10002",40.719506,-73.982362
Ua3 Community First Food Pantry,NONE PROVIDED,"Mon, Thu",10 AM - 2 PM,"384 Grand St, New York, NY 10002",40.716405,-73.987669
Vision Urbana,(646) 626-9748,Mon,9 AM - 11 AM,"66 Essex St, New York, NY 10002",40.717348,-73.988425
Nazareth Housing Inc,(212) 777-1010,Tue,8:30 AM - 10 AM,"206 E 4th St, New York, NY 10009",40.723773,-73.983942
The Crw Community Food Pantry,(646) 395-4414,"Tue, Wed",4 PM - 5:45 PM,"25 Ave D, New York, NY 10009",40.721028,-73.978158
The Lower Eastside Girls Club,(212) 982-1633,Wed,9 AM - 2:30 PM,"402 E 8th St, New York, NY 10009",40.724183,-73.977806
"Trinity'S Services And Food For The Homeless, Inc.",(212) 228-5254,Mon-Thu,12:30 PM - 1:30 PM,"602 E 9th St, New York, NY 10009",40.726049,-73.980041
Lillian Wald Food Pantry,(212) 260-2731,"Tue, Wed",10 AM - 2 PM,"12 Ave D, New York, NY 10009",40.720246,-73.978183
"Trinity'S Services And Food For The Homeless, Inc.",(212) 228-5254,Mon-Fri,11 AM - 12 PM,"602 E 9th St, New York, NY 10009",40.726049,-73.980041
"University Community Social Services, Inc",(347) 850-2230,Sat,9-10AM&1-2:30PM,"137 E 2nd St, New York, NY 10009",40.723116,-73.98629
"Ascension Outreach, Inc",(212) 254-8620,Sat,8:30 AM - 9 AM,"12 W 11th St, New York, NY 10011",40.734195,-73.995719
St. Peter'S Food Pantry,(212) 929-2390,Sat,10:30 AM - 11:30 AM,"346 W 20th St, New York, NY 10011",40.744153,-74.00192
The Red Door Place,(212) 243-5470,Tue,2 PM - 4:50 PM,"201 W 13th St, New York, NY 10011",40.738145,-74.000569
The Salvation Army New York Temple Corps,(212) 337-7467,Mon-Fri,9:30 AM - 11:30 AM,"120 W 14th St, New York, NY 10011",40.737827,-73.998326
"St. Joseph'S Soup Kitchen, Inc",NONE PROVIDED,Sat,1:30 PM - 3 PM,"12 W 12th St, New York, NY 10011",40.734814,-73.995165
The Red Door Place,(212) 243-5470,Sat,12 PM - 2 PM,"201 W 13th St, New York, NY 10011",40.738145,-74.000569
The Salvation Army New York Temple,(212) 337-7469,Mon-Thu,12 PM - 1 PM,"120 W 14th St, New York, NY 10011",40.737827,-73.998326
Xavier Mission Inc,(212) 627-2100,Sun,12:45 PM - 3 PM,"55 W 15th St, New York, NY 10011",40.737812,-73.995506
The Door'S Food & Nutrition Program,(212) 941-9090,Mon-Fri,4:30 PM - 5:30 PM,"555 Broome St, New York, NY 10013",40.724196,-74.004877
The Door'S Food & Nutrition Program,(212) 941-9090,Mon-Fri,4:30 PM - 5:30 PM,"555 Broome St, New York, NY 10013",40.724196,-74.004877
Grand Central Neighborhood Social Services Corporation,(212) 883-0680,Wed,1 PM - 3 PM,"120 E 32nd St, New York, NY 10016",40.745314,-73.981401
Grand Central Neighborhood Social Service Corp.,(212) 883-0680,Mon-Sun,7:30A-8:15A/12P-1:15P/3P-5P,"120 E 32nd St, New York, NY 10016",40.745314,-73.981401
Mccny Charities,(332) 400-7488,Thu,9 AM - 11 AM,"446 W 36th St, New York, NY 10018",40.755449,-73.997442
Rauschenbusch Metro Ministries Inc.,(212) 594-4464,Sat,9 AM - 11:30 AM,"410 W 40th St, New York, NY 10018",40.757318,-73.994266
Gay Men'S Health Crisis,(212) 637-1000,Tue-Thu,11 AM - 2 PM,"307 W 38th St, New York, NY 10018",40.755082,-73.992227
St. Paul'S House Inc.,(212) 265-5433,Tue,9:30 AM - 10:30 AM,"335 W 51st St, New York, NY 10019",40.763644,-73.987076
St. Paul'S House Inc.,(212) 265-5433,"Mon, Wed, Fri",8 AM - 8:30 AM,"335 W 51st St, New York, NY 10019",40.763644,-73.987076
St. James Church-Community Kitchen,(212) 774-4200,Tue/Fri,12-1PM/6:30-7:30PM,"865 Madison Ave, New York, NY 10021",40.771333,-73.965587
Crossroads Community Services Inc,(212) 378-0229,Thu,9:30 AM - 12:45 PM,"108 E 51st St, New York, NY 10022",40.757621,-73.973497
Crossroads Community Services Inc,(212) 378-0229,"M, W, Sun/Sat",7:45-8:45AM/10-11AM,"108 E 51st St, New York, NY 10022",40.757621,-73.973497
Coalition For The Homeless,(212) 776-2002,Mon-Sun,5:30 PM - 10 PM,"108 E 51st St, New York, NY 10022",40.757621,-73.973497
National Council Of Jewish Women,(212) 687-5030,Mon,9:30 AM - 1:30 PM,"241 W 72nd St, New York, NY 10023",40.7794,-73.983076
National Council Of Jewish Women,(212) 687-5030,Wed/Sun,4:30-5PM/11:30AM-12:30PM,"241 W 72nd St, New York, NY 10023",40.7794,-73.983076
Westside Campaign Against Hunger,(212) 362-3662,Tue-Fri,9 AM - 1 PM,"263 W 86th St, New York, NY 10024",40.7888,-73.977266
St. Ignatius Episcopal Church,(212) 580-3326,Mon/Sat,6:45-7:15PM/3:45-4:15PM,"552 W End Ave, New York, NY 10024",40.789318,-73.977313
Congregation B'Nai Jeshurun,(212) 787-7600,Thu,12 PM - 1 PM,"257 W 88th St, New York, NY 10024",40.79002,-73.976236
Advent Lutheran Church,(212) 665-2504,Sat,10 AM - 12 PM,"2504 Broadway, New York, NY 10025",40.792762,-73.972843
Broadway Community,(212) 864-6100,Thu,2 PM - 5 PM,"601 W 114th St, New York, NY 10025",40.806913,-73.965059
Cathedral Community Cares,(347) 376-2848,Thu,12 PM - 6 PM,"1047 Amsterdam Ave, New York, NY 10025",40.804117,-73.962578
Community Impact,(919) 259-8315,"Mon, Wed, Thu",11 AM - 2 PM,"616 W 114th St, New York, NY 10025",40.807023,-73.96584
Advent Lutheran Church,(212) 665-2504,Sat,12 PM - 1 PM,"2504 Broadway, New York, NY 10025",40.792762,-73.972843
Broadway Community,(212) 864-6100,"M, Tue, W, F",10-11:30A&12:30-1:30P,"601 W 114th St, New York, NY 10025",40.806913,-73.965059
Cathedral Of St. John The Divine,(212) 316-7579,Sun,10 AM - 3 PM,"1047 Amsterdam Ave, New York, NY 10025",40.804117,-73.962578
Southern Baptist Church,(212) 663-6549,Wed,12 PM - 1:30 PM,"12 W 108th St, New York, NY 10025",40.79965,-73.960045
St. Michael'S Church,(212) 222-2700,Sat,10 AM - 11:30 AM,"225 W 99th St, New York, NY 10025",40.796454,-73.969424
Food Bank For New York City,(212) 566-7855,"Tue, W/Thu/Sat",9:30A-3:30P/12-6PM/11AM-2PM,"252 W 116th St, New York, NY 10026",40.804061,-73.954918
Project Create - Anthony House,(212) 663-1596,Wed,10 AM - 12 PM,"73 Lenox Ave, New York, NY 10026",40.800592,-73.95107
Food Bank For New York City,(212) 665-8747,"M, W, F",4 PM - 6 PM,"252 W 116th St, New York, NY 10026",40.804061,-73.954918
Free Food Harlem,(510) 541-9430,"Wed, Fri",5:15 PM - 7 PM,"37 W 119th St, New York, NY 10026",40.803221,-73.94621
African Services Committee,212-222-3882 (10,Mon-Thu,10 AM - 4 PM,"429 W 127th St, New York, NY 10027",40.813387,-73.95449
Antioch Outreach Ministries,(212) 534-5715,Sat,7:30 AM - 11 AM,"41 W 124th St, New York, NY 10027",40.806518,-73.944247
Church Of The Annunciation,(212) 234-1919,Tue,2 PM - 5 PM,"88 Convent Ave, New York, NY 10027",40.816272,-73.952965
Harlem Dowling West Side Center/Specialized Services,(212) 749-3656,Fri,12 PM - 2 PM,"2139 Adam Clayton Powell Jr Blvd, New York, NY 10027",40.810032,-73.94723
Love Wins Nyc (Harlem),NONE PROVIDED,Wed,1 PM - 3 PM,"521 W 126th St, New York, NY 10027",40.814849,-73.956153
Mt. Olivet Baptist Church Community Meal Program,(212) 864-1155,"Tue, Wed",10:30 AM - 11:30 AM,"201 Lenox Ave, New York, NY 10027",40.804826,-73.947965
Riverside Church Food Pantry,(212) 870-6733,Tue-Fri,9 AM - 1 PM,"91 Claremont Ave, New York, NY 10027",40.811964,-73.962513
Salem United Methodist Church,(212) 678-2700,Tue,10 AM - 12 PM,"2190 Adam Clayton Powell Jr Blvd, New York, NY 10027",40.811921,-73.946516
Salem United Methodist Church,(212) 678-2700,Wed,10:30 AM - 12 PM,"2190 Adam Clayton Powell Jr Blvd, New York, NY 10027",40.811921,-73.946516
Another Choice Youth And Family Outreach Inc,(212) 369-6643,Fri/Sat,10-11AM/10AM-12PM,"1765 Madison Ave, New York, NY 10029",40.799797,-73.944809
